1;Sergei Krikalev;803/6
2;Alexander Kaleri;770/5
3;Sergei Avdeyev;748/3
4;Valery Polyakov;679/2
5;Anatoly Solovyev;652/5
6;Gennady Padalka ;586/3
7;Victor Afanasyev;556/4
8;Yury Usachev;553/4
9;Musa Manarov;541/2
10;Yuri Malenchenko;515/4
11;Alexander Viktorenko;489/4
12;Nikolai Budarin;446/3
13;Yuri Romanenko;430/3
14;Alexander Volkov;392/3
15;Yury Onufrienko;389/2
16;Vladimir Titov;387/4
17;Vasily Tsibliev;383/2
18;Mike Fincke;382/3
19;Valery Korzun;382/2
20;Pavel Vinogradov;381/2
21;Peggy Whitson;377/2
22;Leonid Kizim;375/3
23;Mike Foale;374/6
24;Alexander Serebrov;374/4
25;Valery Ryumin;372/4
26;Fyodor Yurchikhin;371/3
27;Sergei Volkov;366/2
28;Jeff Williams;362/3
